epoch,train_dice,train_iou,train_pixel_accuracy,train_precision,train_recall,train_loss,val_dice,val_iou,val_pixel_accuracy,val_precision,val_recall,val_loss
1,0.090185456504935,0.05859528316468,0.9712532044843186,0.34939900628659265,0.11894975118182932,0.5122556135404942,0.18072744351859016,0.11918985956120041,0.971640146176597,0.2941000818860202,0.24005906536894026,0.47079233269386955
2,0.2517598131454961,0.17879763860688652,0.9736449593721435,0.4266541370212339,0.3046917446650738,0.4347047079787698,0.37974286200519225,0.2768682798557254,0.9748446206915016,0.34810257771191644,0.5262823639483514,0.3697340888861994
3,0.3625885490761247,0.27274693046198334,0.9790052064629489,0.4888437823500744,0.409734929283691,0.3756862017650937,0.45473372832438075,0.3545660451811526,0.9839577208582653,0.5087525084160582,0.5080633127983492,0.3233641382247339
4,0.4188970096929129,0.32222696965517,0.9820745812599049,0.5264478171634119,0.4638202723202317,0.3415284343930178,0.4644663534593513,0.36945117627242136,0.9863331650095858,0.5965749321205349,0.46255761168691695,0.31157770802649426
5,0.45585270286646,0.35652506775980775,0.9844954332640005,0.5519836066767226,0.49360908221366795,0.31811297615600187,0.5241060878092042,0.42155314235797986,0.9871475281320913,0.5426750974662072,0.5758212113588054,0.27810937161888544
6,0.48235956666081453,0.37949533266730084,0.984478731141534,0.5532710458650145,0.5310425261078879,0.304005668346965,0.5154728975109161,0.41923723200063057,0.9879629921670922,0.663416722516363,0.5186125341105358,0.28219283358106073
7,0.5119989173010339,0.40900480695242103,0.9861228375933891,0.5919284279956374,0.5521808893874635,0.2863062780437081,0.5711847202006203,0.46713824187377023,0.9883097110881168,0.5904486071215659,0.6218455172588586,0.25017900755750594
8,0.5322019320934318,0.4283907990469489,0.9866696166437726,0.6023254933398824,0.5730159476745961,0.27432495320952216,0.5720589301928727,0.4744424851954589,0.9897099496318225,0.6849869291564377,0.555792150026828,0.24833607560642745
9,0.5391163692571396,0.4346278871214667,0.9869200653114985,0.6053003665319708,0.5815019174370655,0.26976482431555904,0.584125456425898,0.4817838273477485,0.9886011344601005,0.5926723465518093,0.6420260436822092,0.24211696893820223
10,0.5509179665945297,0.44622967487504317,0.9872925326574681,0.6209681919494341,0.5942616119634273,0.2625948651585468,0.5756134998123601,0.47239308718846046,0.9884697362369653,0.6033693572779353,0.6322571731271176,0.2467167413319057
11,0.5593527023528897,0.4545088564587194,0.9873545142107232,0.6233005963785704,0.6036076814282773,0.25759359916975333,0.6034377904173598,0.49800847490224853,0.9875998426937054,0.593901116460432,0.6848614952906815,0.23260546085818065
12,0.5723420894423197,0.46836485436489417,0.987593307744625,0.6316034130232279,0.6177382271650226,0.2495670969229798,0.5852661524697901,0.4872645426903823,0.9898312384227537,0.716987751132345,0.5661057176714539,0.24035605948813077
13,0.5859605451655943,0.4819294517469961,0.988089264825333,0.6437732125090998,0.6248867629572402,0.24167944464919178,0.6329313700880818,0.5301663263096692,0.9892134356740944,0.6707313435344114,0.663101488256662,0.2121366885489364
14,0.5945176948295083,0.49116777957871904,0.9883479545282763,0.653009217145831,0.6319029974036439,0.23652215657192607,0.6129828613624517,0.5060129500438928,0.9887428213619183,0.618306149851601,0.6832896071352357,0.224896313998367
15,0.594995824403541,0.49050020825031193,0.9883280081111331,0.6478851562322572,0.6401912590792013,0.235926162364871,0.6214955251863975,0.514949460853167,0.985892848456373,0.601545630414877,0.7246224188147159,0.22624696765219351
16,0.5970186767883079,0.4925980259512746,0.9876952181721843,0.6508238755686339,0.6422324599914773,0.2356518430765285,0.6130112258201068,0.5078271914635757,0.987690211640041,0.6357338456180168,0.6654844726983279,0.22484391284849717
17,0.6152356656831365,0.5104904306489367,0.988645251060641,0.6678631274506103,0.6583265395358552,0.2244299370362315,0.6430864918041644,0.5388927745196228,0.9897754712270894,0.652559936392636,0.7022609176068244,0.205535172031995
18,0.6087240727488384,0.5042608933046807,0.9882474077302356,0.6620487615812657,0.6542669607456341,0.22821532090216182,0.6499076698445789,0.5469676633358693,0.9901878896057174,0.6794374160392883,0.69057310743498,0.20131004043464132
19,0.6229350632706354,0.5164999332885409,0.9884746760823006,0.6716580507020617,0.668965146985165,0.2195396114920461,0.6598203648503529,0.5572554162001921,0.9903515778882064,0.7196739912033081,0.6721186661235826,0.19553119685982065
20,0.6222690832476283,0.5168468092763147,0.9884379793738209,0.6688803585116253,0.670655534710995,0.21971843928791757,0.6711134484094529,0.5669737075859645,0.9904285292147899,0.7162210629017501,0.6964021736028752,0.1899592578032626
21,0.637310640756474,0.5321047092939533,0.988643477822459,0.6770009996239529,0.6854152346766272,0.21179202606165132,0.6513047991712484,0.5522395137951578,0.9906067066164944,0.7114708783491602,0.6672517515405342,0.2001215095546621
22,0.6366207275626271,0.5317214531607406,0.9885180807390879,0.6769433316103247,0.6851307425734608,0.21186923582193462,0.6713575123875511,0.5638745501529323,0.9890102314153154,0.6689835249599074,0.7424413572202054,0.19149642100852357
23,0.6348200743628103,0.5275849422743154,0.9879150099532549,0.6703313779692317,0.688104932737905,0.21330915413103824,0.658498470253799,0.5587274252243761,0.9911962466419868,0.7429090346411108,0.648064901849528,0.19588743664962288
24,0.6494922677791396,0.5426509073653887,0.988795957246492,0.6834876246230547,0.6997738542944886,0.20449144215604595,0.6749748363550239,0.5704600855124187,0.9906209997930098,0.7081903565258696,0.7063626675543487,0.18728303037454064
25,0.654454804437105,0.5471903853291689,0.9888929762812548,0.6861680241864782,0.7053892449584118,0.20130662771678248,0.6688339102942988,0.565821163107591,0.9912532580089154,0.7421220507261888,0.6724189980109648,0.1911243044721241
26,0.653384730219841,0.5462485544903334,0.9889113660468611,0.6836105950696524,0.704765930425289,0.2019565507423046,0.6714525692521747,0.568243233835749,0.9909011058952708,0.7178022927227491,0.6841797821753602,0.19001931742006706
27,0.6494910081112107,0.5426372537432715,0.9890198603618977,0.6893429121998853,0.6967588543545368,0.20411166015925797,0.6785161488288026,0.5770127717054115,0.9913608828026947,0.742515858354693,0.6822701850027408,0.18424021193679255
28,0.6699940773636796,0.5627219890092694,0.9894248295662015,0.6976282939661381,0.7181086633787599,0.19262051655975884,0.6836095773256742,0.577488981933483,0.9903332739852163,0.689225429979914,0.7360279469254747,0.18327511030050597
29,0.6687463875426802,0.5604155902252641,0.9894369993098947,0.70032392546188,0.7174760564122089,0.19288691107270328,0.6970647113243623,0.589545469239073,0.989272798353425,0.6891053994612009,0.7804248304429352,0.17777772862815633
30,0.666786233699599,0.5591150324705035,0.9893011859683103,0.6944271454284358,0.7197510416424552,0.19385750002639238,0.6946358972260153,0.5857659662237015,0.9900235320902355,0.685888570780678,0.7695186180542446,0.1771528694659731
